School ID,school_name,borough,building Code,average_math,average_reading,average_writing,percent_tested
01M539,"New Explorations into Science, Technology and Math High School",Manhattan,M022,657,601,601,91.00%
02M294,Essex Street Academy,Manhattan,M445,395,411,387,78.90%
02M308,Lower Manhattan Arts Academy,Manhattan,M445,418,428,415,65.10%
02M545,High School for Dual Language and Asian Studies,Manhattan,M445,613,453,463,95.90%
01M292,Henry Street School for International Studies,Manhattan,M056,410,406,381,59.70%
01M696,Bard High School Early College,Manhattan,M097,634,641,639,70.80%
02M305,Urban Assembly Academy of Government and Law,Manhattan,M445,389,395,381,80.80%
01M509,Marta Valle High School,Manhattan,M025,438,413,394,35.60%
01M448,University Neighborhood High School,Manhattan,M446,437,355,352,69.90%
02M543,New Design High School,Manhattan,M445,381,396,372,73.70%
02M298,Pace High School,Manhattan,M131,430,435,427,87.80%
02M420,High School for Health Professions and Human Services,Manhattan,M475,452,445,430,86.90%
02M399,High School for Language and Diplomacy,Manhattan,M460,446,433,411,70.20%
02M546,Academy for Software Engineering,Manhattan,M460,,,,
02M533,Union Square Academy for Health Sciences,Manhattan,M460,,,,
02M438,International High School at Union Square,Manhattan,M460,403,330,316,53.20%
02M407,Institute for Collaborative Education,Manhattan,M475,501,550,541,78.60%
02M374,Gramercy Arts High School,Manhattan,M460,446,459,455,79.60%
02M551,Urban Assembly New York Harbor School,Manhattan,M877,446,453,428,78.80%
02M580,Richard R. Green High School of Teaching,Manhattan,M282,411,415,409,60.00%
02M418,Millennium High School,Manhattan,M824,577,560,567,94.00%
02M316,Urban Assembly School of Business for Young Women,Manhattan,M282,418,420,417,75.00%
02M489,High School of Economics and Finance,Manhattan,M833,469,442,447,66.80%
02M425,Leadership and Public Service High School,Manhattan,M894,390,396,392,54.90%
01M450,East Side Community School,Manhattan,M060,454,428,445,85.20%
02M411,Baruch College Campus High School,Manhattan,M874,592,526,531,94.30%
02M047,47 American Sign Language and English Secondary School,Manhattan,M047,,,,48.30%
02M413,School of the Future High School,Manhattan,M660,534,533,522,89.90%
02M439,Manhattan Village Academy,Manhattan,M873,522,479,510,98.80%
02M422,Quest to Learn,Manhattan,M440,,,,
02M412,NYC Lab School for Collaborative Studies,Manhattan,M070,595,550,555,79.80%
02M534,Harvest Collegiate High School,Manhattan,M883,,,,
02M437,Hudson High School of Learning Technologies,Manhattan,M440,378,407,388,71.80%
02M392,Manhattan Business Academy,Manhattan,M440,410,407,399,69.70%
02M605,Humanities Preparatory Academy,Manhattan,M440,,,,
02M419,Landmark High School,Manhattan,M440,386,386,386,30.60%
02M600,High School of Fashion Industries,Manhattan,M600,433,442,427,80.60%
02M414,NYC Museum School,Manhattan,M070,560,530,522,90.00%
02M615,Chelsea Career and Technical Education High School,Manhattan,M615,439,418,400,80.40%
02M376,NYC iSchool,Manhattan,M615,518,515,503,96.00%
02M432,Murray Hill Academy,Manhattan,M620,,,,
02M427,Manhattan Academy for Arts and Language,Manhattan,M620,350,334,321,46.10%
02M500,Unity Center for Urban Technologies,Manhattan,M620,375,385,387,62.80%
02M393,Business of Sports School,Manhattan,M625,395,386,371,67.50%
02M303,Facing History School,Manhattan,M535,366,356,371,57.30%
02M296,High School of Hospitality Management,Manhattan,M535,451,433,424,56.20%
02M300,Urban Assembly School of Design and Construction,Manhattan,M535,445,417,403,60.60%
02M135,Urban Assembly School for Emergency Management,Manhattan,M625,,,,
02M400,High School for Environmental Studies,Manhattan,M834,469,454,444,74.00%
02M630,Art and Design High School,Manhattan,M488,455,475,458,70.10%
02M542,Manhattan Bridges High School,Manhattan,M535,409,360,347,84.40%
02M507,Urban Assembly Gateway School for Technology,Manhattan,M625,445,432,415,78.40%
02M288,Food and Finance High School,Manhattan,M535,428,435,421,52.00%
02M416,Eleanor Roosevelt High School,Manhattan,M855,641,617,631,86.00%
03M299,"High School for Arts, Imagination, and Inquiry",Manhattan,M490,375,389,380,58.80%
03M307,Urban Assembly School for Media Studies,Manhattan,M490,392,419,396,49.50%
03M479,Beacon High School,Manhattan,M837,583,586,595,82.80%
03M485,Fiorello H. LaGuardia High School of Music and Art and Performing Arts,Manhattan,M485,592,592,597,88.50%
03M494,High School of Arts and Technology,Manhattan,M490,421,428,406,44.40%
03M541,Manhattan / Hunter Science High School,Manhattan,M490,581,531,535,97.20%
03M859,Special Music School,Manhattan,M490,,,,
03M492,"High School for Law, Advocacy, and Community Justice",Manhattan,M490,415,417,402,60.50%
03M402,Urban Assembly School for Green Careers,Manhattan,M470,393,371,378,60.00%
03M417,Frank McCourt High School,Manhattan,M470,489,491,500,89.10%
03M403,Global Learning Collaborative,Manhattan,M470,406,407,413,59.40%
03M415,Wadleigh Secondary School for the Performing and Visual Arts,Manhattan,M088,381,401,392,52.60%
03M860,Frederick Douglass Academy II Secondary School,Manhattan,M088,390,384,373,63.80%
05M362,Columbia Secondary School,Manhattan,M125,583,561,546,88.20%
05M367,Academy for Social Action (College Board),Manhattan,M043,357,349,365,54.00%
05M369,Urban Assembly School for the Performing Arts,Manhattan,M043,379,399,388,76.70%
04M680,Heritage School,Manhattan,M107,385,380,370,56.80%
04M555,Central Park East High School,Manhattan,M013,483,468,439,97.90%
04M495,Park East High School,Manhattan,M495,429,433,435,89.60%
04M610,Young Women's Leadership School,Manhattan,M895,478,465,472,100.00%
04M435,Manhattan Center for Science and Mathematics,Manhattan,M435,556,505,495,87.60%
04M372,Esperanza Preparatory Academy,Manhattan,M117,,,,
05M304,Mott Hall High School,Manhattan,M136,416,445,440,36.90%
05M670,Thurgood Marshall Academy for Learning and Social Change,Manhattan,M970,402,394,400,84.70%
05M692,"High School for Mathematics, Science, and Engineering at City College",Manhattan,M812,683,610,596,92.60%
06M540,A. Philip Randolph Campus High School,Manhattan,M540,459,453,447,74.00%
06M552,Gregorio Luperon High School for Science and Mathematics,Manhattan,M876,383,355,352,71.00%
06M346,Community Health Academy of the Heights,Manhattan,M814,387,389,385,55.30%
06M348,Washington Heights Expeditionary Learning School,Manhattan,M143,443,423,434,87.00%
06M423,High School for Excellence and Innovation,Manhattan,M052,,,,
05M157,Urban Assembly School for Global Commerce,Manhattan,M501,,,,
04M409,Coalition School for Social Change,Manhattan,M045,344,368,367,40.50%
02M531,Repertory Company High School for Theatre Arts,Manhattan,M896,425,451,458,89.50%
02M408,Professional Performing Arts High School,Manhattan,M017,496,520,516,72.20%
02M529,Jacqueline Kennedy Onassis High School,Manhattan,M486,418,422,415,53.80%
02M280,Manhattan Early College School for Advertising,Manhattan,M520,,,,
02M520,Murry Bergtraum High School for Business Careers,Manhattan,M520,418,415,398,44.30%
02M282,Urban Assembly Maker Academy,Manhattan,M520,,,,
02M139,Stephen T. Mather Building Arts and Craftsmanship High School,Manhattan,M520,,,,
05M499,Frederick Douglass Academy,Manhattan,M010,463,452,450,65.10%
06M463,High School for Media and Communications,Manhattan,M465,378,381,383,33.00%
06M462,College Academy,Manhattan,M465,367,377,363,41.90%
06M467,High School for Law and Public Service,Manhattan,M465,401,394,381,44.10%
06M293,City College Academy of the Arts,Manhattan,M218,495,445,450,95.30%
06M468,High School for Health Careers and Sciences,Manhattan,M465,374,385,389,56.20%
02M459,Manhattan International High School,Manhattan,M480,438,358,382,58.60%
02M519,Talent Unlimited High School,Manhattan,M480,485,498,496,89.30%
02M449,Vanguard High School,Manhattan,M480,431,409,396,63.80%
02M655,Life Sciences Secondary School,Manhattan,M645,435,440,425,63.00%
02M475,Stuyvesant High School,Manhattan,M477,754,697,693,97.40%
31R600,Ralph R. McKee Career and Technical Education High School,Staten Island,R600,420,429,409,38.00%
31R080,Michael J. Petrides School,Staten Island,R880,483,473,470,79.20%
31R450,Curtis High School,Staten Island,R450,453,458,444,64.20%
31R445,Port Richmond High School,Staten Island,R445,432,427,425,44.60%
31R605,Staten Island Technical High School,Staten Island,R440,711,660,670,99.70%
31R440,New Dorp High School,Staten Island,R435,454,446,444,63.70%
31R455,Tottenville High School,Staten Island,R455,494,476,476,78.90%
31R460,Susan E. Wagner High School,Staten Island,R460,496,490,487,66.30%
31R064,Gaynor McCown Expeditionary Learning School,Staten Island,R043,442,458,454,55.80%
31R047,CSI High School for International Studies,Staten Island,R043,477,468,464,83.50%
07X522,Bronx Design and Construction Academy,Bronx,X600,,,,0.80%
07X547,New Explorers High School,Bronx,X790,390,398,376,30.40%
09X505,"Bronx School for Law, Government, and Justice",Bronx,X460,403,409,415,63.80%
07X548,Urban Assembly School for Careers in Sports,Bronx,X790,402,405,395,55.50%
07X527,Bronx Leadership Academy II High School,Bronx,X790,384,355,361,61.30%
07X551,Urban Assembly Bronx Academy of Letters,Bronx,X183,398,400,405,57.80%
07X670,Health Opportunities High School,Bronx,X884,374,386,382,57.90%
07X427,Community School for Social Justice,Bronx,X884,380,382,362,38.40%
07X600,Alfred E. Smith Career and Technical Education High School,Bronx,X600,390,373,371,29.80%
09X327,Comprehensive Model School Project,Bronx,X240,,,,
09X365,Academy for Language and Technology,Bronx,X082,371,334,348,78.90%
07X223,Laboratory School of Finance and Technology,Bronx,X149,,,,
07X221,South Bronx Preparatory (College Board),Bronx,X149,419,414,394,76.90%
07X334,International Community High School,Bronx,X139,345,338,312,58.20%
07X520,Foreign Language Academy of Global Studies,Bronx,X155,,,,32.60%
07X500,Hostos-Lincoln Academy of Science,Bronx,X162,463,451,435,80.00%
07X259,"HERO High (Health, Education, and Research Occupations High School)",Bronx,X655,,,,
07X495,University Heights Secondary School,Bronx,X470,420,446,424,87.80%
07X473,Mott Haven Village Preparatory High School,Bronx,X470,377,373,369,44.90%
09X543,High School for Violin and Dance,Bronx,X400,363,401,396,31.30%
09X403,Bronx International High School,Bronx,X400,355,330,320,59.10%
08X559,School for Tourism and Hospitality,Bronx,X650,,,,
12X479,Bronx Career and College Preparatory High School,Bronx,X158,370,379,381,40.70%
